Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Club,3.82,3.63,,F32,U23,Female,CP,6/18/2004,1/23/2014,397g,,FieldF32U23FemaleClub,FieldClubF32,FieldClubF32U23Female
Field,Club,6.81,6.47,,F32,U23,Male,CP,6/18/2004,1/23/2014,397g,,FieldF32U23MaleClub,FieldClubF32,FieldClubF32U23Male
Field,Club,5.53,5.26,,F51,Adults,Female,WC,12/27/2006,1/23/2012,397g,,FieldF51AdultsFemaleClub,FieldClubF51,FieldClubF51AdultsFemale
Field,Club,8.48,8.06,,F51,Adults,Male,WC,2/28/2003,1/23/2012,397g,,FieldF51AdultsMaleClub,FieldClubF51,FieldClubF51AdultsMale
Field,Club,3.1,2.94,,F51,M35,Female,WC,12/27/2006,8/18/2013,397g,,FieldF51M35FemaleClub,FieldClubF51,FieldClubF51M35Female
Field,Club,4.75,4.51,,F51,M35,Male,WC,2/28/2003,8/18/2013,397g,,FieldF51M35MaleClub,FieldClubF51,FieldClubF51M35Male
Field,Club,3.1,2.94,,F51,M50,Female,WC,12/27/2006,8/18/2013,397g,,FieldF51M50FemaleClub,FieldClubF51,FieldClubF51M50Female
Field,Club,4.75,4.51,,F51,M50,Male,WC,2/28/2003,8/18/2013,397g,,FieldF51M50MaleClub,FieldClubF51,FieldClubF51M50Male
Field,Club,3.1,2.94,,F51,M60,Female,WC,12/27/2006,8/18/2013,397g,,FieldF51M60FemaleClub,FieldClubF51,FieldClubF51M60Female
Field,Club,4.75,4.51,,F51,M60,Male,WC,2/28/2003,8/18/2013,397g,,FieldF51M60MaleClub,FieldClubF51,FieldClubF51M60Male
Field,Club,2.14,2.03,,F51,U11,Female,WC,3/17/1999,1/23/2014,397g,,FieldF51U11FemaleClub,FieldClubF51,FieldClubF51U11Female
Field,Club,4.45,4.23,,F51,U11,Male,WC,3/17/1999,1/23/2014,397g,,FieldF51U11MaleClub,FieldClubF51,FieldClubF51U11Male
Field,Club,2.34,2.22,,F51,U14,Female,WC,3/17/1999,1/23/2014,397g,,FieldF51U14FemaleClub,FieldClubF51,FieldClubF51U14Female
Field,Club,4.86,4.62,,F51,U14,Male,WC,3/17/1999,1/23/2014,397g,,FieldF51U14MaleClub,FieldClubF51,FieldClubF51U14Male
Field,Club,2.53,2.4,,F51,U17,Female,WC,3/17/1999,1/7/2019,397g,,FieldF51U17FemaleClub,FieldClubF51,FieldClubF51U17Female
Field,Club,5.26,5,,F51,U17,Male,WC,3/17/1999,1/7/2019,397g,,FieldF51U17MaleClub,FieldClubF51,FieldClubF51U17Male
